Unique accounts	Number of txs	Sum Ethers	Average
0x7d0c70973ec7a544e0bb7177326f8942869a0c80	2	3.181175556	
0xe80b043bc3aa711772aa8d8027468dab8ea790fe	2	2.75	
0x7da334d84f56404a1d09b0391d10939d8c337bc2	2	9	
0x2737376e5878f489fc2d12c1466d836146bfb767	2	0.6	
0x7e71705c67a43a030312faf94106b7a71854e496	2	6	
0xea38642677ec76b8ff89423ea1de3e022acc288d	2	0.006548838	
0x7f994c6f061b49c6132913edf96495dd240ef6a7	2	3.042481941	
0xeabacfe7cd3cfd4a1793545e10470de249b4fe70	2	5.1	
0x00aca88bbbe89ac39ea47e63de0c01070ef8bb0e	2	20.6	
0xeb2f6f5832eeab75cbe53cac8b3836035258c610	2	2.1	
0x8363821000a225a0f076e77a790a70afe352f674	2	100.089559	
0x0050b069603985475095e8af6604a0694701e60a	2	17.5	
0x1d105a7a5c992c2f06f6cc56e2fd658665aefe46	2	1.1	
0xed14d3db44db9662d6fb82aa6dabb9e1bc0ebf8f	2	145.4345592	
0x85d28fd2c4368e53d70afe337e8f134b8f860c9a	2	2	
0xed4188e4483ecf6e491459462d9585c624744dfc	2	0.066413803	
0x8650b94fc5645e027183ad5980fb59246fa22bb5	2	0.995	
0xee9d3287c34324f28e06991a2d8b8ed0eaaeebd1	2	7.95	
0x869fa368c840ecd1df76490acce2f1e7ed3a74b2	2	7.750687711	
0xf033e90fa312fd7e40f1a0d67a42f18fc5d97c79	2	2.5	
0x1d2bbc672d9d141a48550ae55435d60b4324d362	2	0.697411495	
0x2a29c3b44721c92c1377b31bc67ec95703e88462	2	2.15	
0x895e43360cb14bdbcceb4b2ef06761b30b666a9a	2	5	
0x01b50e8283f79bb43b5be9452887132c9ab59034	2	18	
0xfdf892780f7ebafd0ca99a9ac93f78916baf033a	2	10	
0x737974203e16d7b3f97f63ca2b9dd64e6bb4da6b	2	4.9	
0xfb25d3452a366e4f1f083c0c399045ce5bd65561	2	4.088290222	
0x73ea7b136a8455a409c35c81c7e9417c5eeac379	2	0.2	
0xfb4c47e2d80bf8d9ba732f374cb7cb9e38757896	2	2.1	
0x73ec7a81e9c9a8bfac784e1cb8052ce693a78cb7	2	3	
0xfba6cb41b57abe94c1d80b7d738e9946d867f8fd	2	14	
0x7490a97fa03f981167c7120999d450416b45da78	2	1	
0xfbc200b85dbf0d3e5cc5c6bb65ba4326eaf35aa4	2	0.2	
0x74d4e64fcd1a8581234c8397093f8e228ee67575	2	172.2	
0xfcc6f0361fa8e58cd11bdcb5e6b0dd0d29a34ac9	2	15	
0x76f82f6b2f3c5b562d9b3e921571cb73816a6f34	2	2	
0xfe96a157731d76ea1b8bb105e63bd60ab0de04aa	2	20.3	
0x771a21cdad864d58f6e685f65b4213003832d13c	2	0.464	
0xff52c5c250d63e6903aa7b7bd4c256bf47432602	2	30	
0xd64bebf037d5ea44fca8cc55dbddca7f5836a088	1	1.084	
0xa563e01f5377e14a8e3736cfb782572b025b27ce	1	0.06	
0x8e2633830a86dc8a53d397a86bef147cb4d3b65d	1	6.027	
0x00064ad0dab5ec00be73071b3eb8ba0aac48cb89	1	52	
0xbe629139650f756639632a28f4e77782010d3cae	1	2	
0x167464f95479c402bfba7a254a9bd75064f8d05f	1	1.5	
0x1222a150906f6b30c78a1489c9ae215fdfe3aef0	1	5	
0x0050ea391908166f958112183c709b4aaab168fc	1	22.7958	
0x9a9592031ed96796c7f53661a3c7d6b6dedd7e8d	1	30	
0x0055fdeebdd52eca3ab1af6288903f49cbc60414	1	15	
0xb253342821c1c9c6e0dccc4a8d28c372403a4726	1	0.2	
0x16943631bc11deacff516140ddbfe3fa0202a8ba	1	2.09	
0xca59e9d4e0f590620e4c85ec2d813bb27de980aa	1	1	
0x16aa8a3657ad13691dd55332919d9ca00aeac9a6	1	9	
0xe14676ba7266d69a5105064da60936e47115fb7e	1	1	
0x16e0d4e1eabdf6f53e2e064c8500461c1ceb66d0	1	0.13026062	
0xf6619154fafca845b2de73b7db7396f3f4fd4915	1	1	
0x16e0ddfe339beccedb729ce5670938712390cabe	1	0.1	
0x00275cb0fc5b45ef9ce04bb3fe606a373e7dcbf7	1	20	
0x170cc2b562cd1c581c13e66b29d91199ec31617a	1	1	
0x9fdd51b3ab2cc2ba62ca4ec5238a6a14cf381c71	1	5	
0x17142a5580c82466a553f3c5e201d672924dce24	1	2	
0xab9e273ed47fc6afa4cd7ae34e2680bfc64851a2	1	0.248	
0x17875b3fa4d4c5bc8367b5b6f01455dedfc1a336	1	10	
0xb877019b7702e0b7d5af78414a000ac61ac08246	1	0.8	
0x179f340f8954cea39d7c76bdba3dfd6187008bbf	1	40	
0xc42c56a0a91d1d04c615d29394c3eee261e049d7	1	0.575	
0x17bcefc1f6afeb3e849558fa8917e464ddb0eaf0	1	0.5	
0xd02e4dfb47555722c26724ff05597ef74830c54c	1	0.5	
0x17e0975ad70007c2701bb8131bcb7dccd107cd4f	1	20	
0x1009f48780d759d9f2e1e425f705caeb889163c6	1	0.09088139	
0x180d932fbd59c12c180087085cdcdfa50f20c7db	1	1	
0xe61cbe1a7aca86930b93166695e3736c97e9e74f	1	0.15	
0x181dd7d2e3d1fa107b59d038e2b348a010354811	1	1	
0xef9d331bda13836e8165138da70501ab3106076e	1	7	
0x1845304c7899c292583b12b417dd5d5919228ac0	1	15	
0xfd67d92cac99cc07d140989fb9136bb44ff42140	1	8.93	
0x1860d6d35ff4632b919ea29bd52938e6bf5a07ed	1	3	
0x903c839e37c129df7e093e741606c5d743788926	1	25	
0x189b40bb46b5b260d8ebafa9043aa7382d8238d9	1	0.5	
0x9782b9c2c85c2e9db211cb6200065e312853e68c	1	0.52	
0x189b9b10d832ddff80fa79d82a3cbace8cccb410	1	5.473	
0x9d4feb1f31fbff085a361eb346bb6db14c46cfe7	1	1	
0x18bc3e07b7ed3179a17a81d2f836f8ac2a6628a7	1	0.423164	
0xa2a826452cf39bfdd15086a7167f22a877f5048c	1	5	
0x18c043890b9d2daf51d4d4594707cbe9ad062cbb	1	1	
0xa863b96df489948a5da4b8a8779478038ad9279b	1	0.473002358	
0x18ca0cf6127476a2956f696ec16694871c76c994	1	1	
0xae933f4d532620a0385218009c0348428d1e2e89	1	0.18	
0x18ea39b27b1dd0e53a46a90f544a3ee6e16f94c4	1	0.5	
0xb5d365aca3e16068ab0eb3b39acf6db62c789267	1	2.75	
0x190cb694377ec291eea24053239cf97fbe5992b6	1	0.5	
0xbb364198c9980b0157cb313c3702fac7b82d2b54	1	1.5	
0x192d184e726da9a783de846a53b84d772387b8d2	1	4.5	
0xc1b201d8194262af2ac137f7882442869c5183ac	1	1	
0x19a1d545f4c916e2efaa008745a49608ae576cc1	1	15	
0xc6de445b8c1d9818718e825b5d2727c9172fbcb7	1	0.246	
0x19a3c5522d833efbf33aa915a88fcdc951f7f0e2	1	4	
0x0e8cc6b5027cdcd90b066ab9453a5440564f7c73	1	3	
0x19bba2d77724eb658e1a0be93ae62ff18369d374	1	0.1	
0x0f5083559707456634003a1d9d64490a83b5b455	1	1.001	
0x1a08bac3fa02c1ac7e12f8b961e3b2ed6ce31e00	1	20	
0xd8bf10d5cb146ce7c8b90eb2a5bf2a1f8aeb4746	1	0.5	
0x1a189a8bfba5e1a14c89227a1143fbec5c7f09ed	1	1	
0xdee68c8b5b594feac6eb5fd761a058c728a42476	1	0.3	
0x1a1d61e5fead8feb3f326fc75b102d8961e61a24	1	2	
0xe37652f26988a587d4966ef1f83c77236bfe3319	1	0.1	
0x1a2e108c5b2eb8ae306386f76f9e750e30db947e	1	0.15	
0xe82301fe0bd18c33cd0c6ceb99dc494c5057dea0	1	20	
0x1a8a67603eacb511b6aad692061bb8184bf0c5d1	1	5	
0x1285195ca5bb316d316ea8afb927c7c6818ce189	1	2	
0x1ac3c7132f52502fe49669dd6e6751914f6d3b61	1	1	
0xf2cd7ee9c7a2923ec0e2bb39e151b0e5696221cc	1	4	
0x1ad185abff846b0b34ea3970184e65f58a6e89ed	1	10	
0xf9f1088358b4c7e7e779988476aa3d71c40e1054	1	2.483	
0x1ae2f33bb9258969479d21fefecbb965a11c107f	1	2.9	
0x8c943eadf5217f04260a2527f18acac36b550ee8	1	3	
0x1ae8943866bf83fd2bfa3095ae1d89970f32ee55	1	2	
0x8f9e6dd01128cc3c148902ebfa648bfcb68ad1ce	1	6	
0x1af450b92b9353677d91545a9cd0202a9d3689e2	1	20	
0x91289bade1a101bcce12aa439d3e00d576fe383f	1	3	
0x1b12b11184866ff3c7fbeb7e71faeb372ac2d85a	1	0.08	
0x9465ef99810d0ac2dc6692596c29201bc7807ac5	1	0.071	
0x1b1c6d40ec2b2b71031f3566e20f0741a7f43dd5	1	1	
